"Phero_genes"	"Food_genes"	"interxn_genes"	"allDEG"	"Food_down"	"Food_up"	"EBO_down"	"EBO_up"	"BP_up"	"BP_down"	"background"
"725126"	"410583"		"725126"	"550677"						"100576529"
"551053"	"726887"		"551053"	"550686"						"100576530"
"408551"	"412163"		"408551"	"550804"						"100576531"
"678511"	"724390"		"678511"	"550956"						"100576532"
"413816"	"411846"		"413816"	"551005"						"100576534"
"409786"	"726733"		"409786"	"551077"						"100576540"
"100578226"	"725500"		"100578226"	"551094"						"100576542"
"413789"	"411207"		"413789"	"551125"						"100576543"
"724211"	"412663"		"724211"	"551232"						"100576544"
"102656548"	"100577693"		"102656548"	"551233"						"100576547"
"552257"	"410829"		"552257"	"551241"						"100576552"
"411563"	"410236"		"411563"	"551401"						"100576554"
"408937"	"551077"		"408937"	"551428"						"100576555"
"100576734"	"724378"		"100576734"	"551496"						"100576559"
"724293"	"410492"		"724293"	"551552"						"100576563"
"102653894"	"408455"		"102653894"	"551553"						"100576565"
"410997"	"410288"		"410997"	"551559"						"100576568"
"408302"	"408390"		"408302"	"551560"						"100576569"
"102653655"	"413749"		"102653655"	"551579"						"100576571"
"726375"	"409025"		"726375"	"551582"						"100576572"
"726690"	"411159"		"726690"	"551587"						"100576584"
"412209"	"726361"		"412209"	"551678"						"100576586"
"412231"	"408572"		"412231"	"551710"						"100576590"
"100576547"	"100578929"		"100576547"	"551719"						"100576591"
"408622"	"724583"		"408622"	"551765"						"100576592"
"551167"	"552286"		"551167"	"551806"						"100576597"
"410780"	"408864"		"410780"	"551837"						"100576600"
"408868"	"726205"		"408868"	"551850"						"100576603"
"102655332"	"100576681"		"102655332"	"551879"						"100576606"
"725922"	"102656008"		"725922"	"551935"						"100576608"
"408478"	"408525"		"408478"	"551950"						"100576610"
"408888"	"726126"		"408888"	"552005"						"100576612"
"412540"	"107965038"		"412540"	"552028"						"100576614"
"408456"	"411452"		"408456"	"552100"						"100576615"
"100577717"	"100578816"		"100577717"	"552251"						"100576617"
"409487"	"100577699"		"409487"	"552277"						"100576619"
"411317"	"410489"		"411317"	"552286"						"100576620"
"552281"	"408985"		"552281"	"552295"						"100576621"
"408299"	"726814"		"408299"	"552318"						"100576623"
"725710"	"408456"		"725710"	"552391"						"100576625"
"408817"	"551850"		"408817"	"552418"						"100576637"
"413190"	"411813"		"413190"	"552419"						"100576638"
"406094"	"411253"		"406094"	"552446"						"100576640"
"410829"	"552738"		"410829"	"552447"						"100576645"
"408650"	"409228"		"408650"	"552459"						"100576646"
"410489"	"413000"		"410489"	"552478"						"100576647"
"100576307"	"551232"		"100576307"	"552493"						"100576649"
"408474"	"550671"		"408474"	"552503"						"100576660"
"413551"	"552446"		"413551"	"552512"						"100576662"
"102656070"	"408470"		"102656070"	"552523"						"100576666"
"725008"	"725606"		"725008"	"552546"						"100576667"
"726786"	"551950"		"726786"	"552561"						"100576669"
"550671"	"726611"		"550671"	"552602"						"100576671"
"410465"	"725688"		"410465"	"552712"						"100576677"
"100578733"	"406146"		"100578733"	"552728"						"100576679"
"408470"	"410837"		"408470"	"552738"						"100576681"
"409490"	"725258"		"409490"	"552741"						"100576683"
"409677"	"102656070"		"409677"	"552766"						"100576687"
"724580"	"100578249"		"724580"	"552778"						"100576688"
"410380"	"726260"		"410380"	"552780"						"100576690"
"410626"	"552419"		"410626"	"552799"						"100576700"
"726251"	"409861"		"726251"	"552811"						"100576702"
"100576271"	"100577192"		"100576271"	"552829"						"100576703"
"724694"	"726860"		"724694"	"552832"						"100576705"
"411706"	"411303"		"411706"	"677665"						"100576706"
"726441"	"408732"		"726441"	"677671"						"100576708"
"408544"	"725922"		"408544"	"677673"						"100576709"
"408395"	"552766"		"408395"	"677677"						"100576714"
"409852"	"725288"		"409852"	"724153"						"100576717"
"409801"	"100578770"		"409801"	"724188"						"100576718"
"406155"	"552318"		"406155"	"724208"						"100576722"
"726798"	"725074"		"726798"	"724239"						"100576730"
"409173"	"551678"		"409173"	"724330"						"100576733"
"413346"	"725245"		"413346"	"724378"						"100576734"
"413833"	"411863"		"413833"	"724390"						"100576735"
"411564"	"410743"		"411564"	"724421"						"100576736"
"551094"	"550686"		"551094"	"724552"						"100576737"
"409602"	"552780"		"409602"	"724583"						"100576738"
"409740"	"551125"		"409740"	"724640"						"100576740"
"412515"	"412694"		"412515"	"724654"						"100576741"
"449496"	"100577053"		"449496"	"724756"						"100576742"
"100577883"	"408291"		"100577883"	"724776"						"100576744"
