"","Phero_genes","Food_genes","interxn_genes","allDEG","Food_down","Food_up","EBO_down","EBO_up","BP_up","BP_down","BPvEBO_up","BPvEBO_down","background"
"232","412859","552503",NA,"412859","726251",NA,NA,NA,NA,NA,NA,"726251","100576726"
"233","100576657","107964035",NA,"100576657","726260",NA,NA,NA,NA,NA,NA,"726260","100576732"
"234","551643","113218991",NA,"551643","726361",NA,NA,NA,NA,NA,NA,"726361","100576733"
"235","411207","724188",NA,"411207","726586",NA,NA,NA,NA,NA,NA,"726586","100576734"
"236","408348","726886",NA,"408348","726625",NA,NA,NA,NA,NA,NA,"726625","100576735"
"237","100642173","410059",NA,"100642173","726750",NA,NA,NA,NA,NA,NA,"726750","100576736"
"238","724919","408288",NA,"724919","726803",NA,NA,NA,NA,NA,NA,"726803","100576737"
"239","410837","410479",NA,"410837","726814",NA,NA,NA,NA,NA,NA,"726814","100576744"
"240","724971","551710",NA,"724971","726818",NA,NA,NA,NA,NA,NA,"726818","100576745"
"241","725578","726586",NA,"725578","726860",NA,NA,NA,NA,NA,NA,"726860","100576746"
"242","113219060","100576151",NA,"113219060","726886",NA,NA,NA,NA,NA,NA,"726886","100576747"
"243","411822","725274",NA,"411822","726887",NA,NA,NA,NA,NA,NA,"726887","100576748"
"244","726860","550956",NA,"726860","727007",NA,NA,NA,NA,NA,NA,"727007","100576754"
"245","102654369","550659",NA,"102654369","727110",NA,NA,NA,NA,NA,NA,"727110","100576758"
"246","725098","551552",NA,"725098","727254",NA,NA,NA,NA,NA,NA,"727254","100576759"
"247","113218991","724536",NA,"113218991",NA,NA,NA,NA,NA,NA,NA,NA,"100576760"
"248","411863","725938",NA,"411863",NA,NA,NA,NA,NA,NA,NA,NA,"100576761"
"249","102654715","412574",NA,"102654715",NA,NA,NA,NA,NA,NA,NA,NA,"100576765"
"250","724235","100576600",NA,"724235",NA,NA,NA,NA,NA,NA,NA,NA,"100576767"
"251","413785","410710",NA,"413785",NA,NA,NA,NA,NA,NA,NA,NA,"100576768"
"252","100578822","725388",NA,"100578822",NA,NA,NA,NA,NA,NA,NA,NA,"100576770"
"253","544670","411976",NA,"544670",NA,NA,NA,NA,NA,NA,NA,NA,"100576774"
"254","408981","727479",NA,"408981",NA,NA,NA,NA,NA,NA,NA,NA,"100576775"
"255","410479","412169",NA,"410479",NA,NA,NA,NA,NA,NA,NA,NA,"100576781"
"256","552377","552402",NA,"552377",NA,NA,NA,NA,NA,NA,NA,NA,"100576784"
"257","409368","411167",NA,"409368",NA,NA,NA,NA,NA,NA,NA,NA,"100576789"
"258","550886","726373",NA,"550886",NA,NA,NA,NA,NA,NA,NA,NA,"100576794"
"259","550785","726445",NA,"550785",NA,NA,NA,NA,NA,NA,NA,NA,"100576795"
"260","406086","552095",NA,"406086",NA,NA,NA,NA,NA,NA,NA,NA,"100576796"
"261","726432","410216",NA,"726432",NA,NA,NA,NA,NA,NA,NA,NA,"100576799"
"262","725244","409942",NA,"725244",NA,NA,NA,NA,NA,NA,NA,NA,"100576801"
"263","413625","409105",NA,"413625",NA,NA,NA,NA,NA,NA,NA,NA,"100576805"
"264","102654640","100577214",NA,"102654640",NA,NA,NA,NA,NA,NA,NA,NA,"100576812"
"265","413805","406153",NA,"413805",NA,NA,NA,NA,NA,NA,NA,NA,"100576814"
"266","724831","408922",NA,"724831",NA,NA,NA,NA,NA,NA,NA,NA,"100576817"
"267","411614","100578563",NA,"411614",NA,NA,NA,NA,NA,NA,NA,NA,"100576818"
"268","102655054","552139",NA,"102655054",NA,NA,NA,NA,NA,NA,NA,NA,"100576819"
"269","724275","413407",NA,"724275",NA,NA,NA,NA,NA,NA,NA,NA,"100576820"
"270",NA,"411420",NA,"406090",NA,NA,NA,NA,NA,NA,NA,NA,"100576826"
"271",NA,"411361",NA,"406116",NA,NA,NA,NA,NA,NA,NA,NA,"100576828"
"272",NA,"102655751",NA,"406149",NA,NA,NA,NA,NA,NA,NA,NA,"100576829"
"273",NA,"411047",NA,"725382",NA,NA,NA,NA,NA,NA,NA,NA,"100576838"
"274",NA,"408714",NA,"113218518",NA,NA,NA,NA,NA,NA,NA,NA,"100576840"
"275",NA,"726710",NA,"551560",NA,NA,NA,NA,NA,NA,NA,NA,"100576841"
"276",NA,"410905",NA,"406133",NA,NA,NA,NA,NA,NA,NA,NA,"100576843"
"277",NA,"408969",NA,"725202",NA,NA,NA,NA,NA,NA,NA,NA,"100576847"
